Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
query current activities,Minor,Hosni.Olayan,"	16/09/2025 11:55:49 +03:00",OSSFaceService,192.168.19.229,query current activities,Successful,query current activities
Query the operator type,Minor,Hosni.Olayan,"	16/09/2025 11:55:49 +03:00",NBIMgmtService,192.168.19.229,Obtain the operator type,Failed,Failed:Query the current operator type
query current activities,Minor,Abdallah.Younes,"	16/09/2025 11:55:27 +03:00",OSSFaceService,192.168.19.18,query current activities,Successful,query current activities
Query the operator type,Minor,Abdallah.Younes,"	16/09/2025 11:55:26 +03:00",NBIMgmtService,192.168.19.18,Obtain the operator type,Failed,Failed:Query the current operator type
Export Co-MPT BTS Bulk Configuration Data,Minor,mohammad.abujrai,"	16/09/2025 11:53:44 +03:00",CMEServer,192.168.27.66,The Planned Area(All network),Successful,"[Module]: Export Co-MPT BTS Bulk Configuration Data, [Consume(s)]: 51, [Result]: Successful, [Operated NE Count]: 3297, [Operated NE Names]: 1001-ULT_BSC_Dwaik_PA_Fiber_TASC_O,1002-ULT_Zawahrah_PB_Fiber_TASC,1003-ULT_Jabal_Tareq_Police_Station_PB_Fiber_TASC,1004-ULT_Zawahrah_2_PE_EBand_TASC,1005-ULT_Zarqa_Madina_Monawara_PD_EBand_TASC_O..."
Query Task Detail,Minor,mohammad.abujrai,"	16/09/2025 11:53:41 +03:00",CMEFaceService,192.168.27.66,Task Management,Successful,"[Task ID]: 15f9d2ff-7cee-4ae3-9276-ee1dc52bca9a 
[Result]: ."
Export Base Station Bulk Configuration Data,Minor,mohammad.abujrai,"	16/09/2025 11:53:38 +03:00",CMEFaceService,192.168.27.66,Export Base Station Bulk Configuration Data,Successful,[Scenario]:Export LTE Base Station Bulk Configuration Data
query current activities,Minor,Ayman.Al-Sayyed,"	16/09/2025 11:51:12 +03:00",OSSFaceService,172.17.218.12,query current activities,Successful,query current activities
Query the operator type,Minor,Ayman.Al-Sayyed,"	16/09/2025 11:51:11 +03:00",NBIMgmtService,172.17.218.12,Obtain the operator type,Failed,Failed:Query the current operator type
Query Trace Server Ftp Information,Minor,admin,"	16/09/2025 11:47:43 +03:00",Data Collection,10.119.10.104,OSS,Successful,"Function: [Data Collection Management][Basic Information Collection]
Query Trace Server Ftp Information Successful"
query current activities,Minor,Ayman.Al-Sayyed,"	16/09/2025 11:46:05 +03:00",OSSFaceService,172.17.218.12,query current activities,Successful,query current activities
Query the operator type,Minor,Ayman.Al-Sayyed,"	16/09/2025 11:46:03 +03:00",NBIMgmtService,172.17.218.12,Obtain the operator type,Failed,Failed:Query the current operator type
LCM/CSM Performance Report,Warning,restUserForU2000,"	16/09/2025 11:45:54 +03:00",VNFM,10.253.100.107,OSS,Successful,Operation success
LCM/CSM Performance Report,Warning,restUserForU2000,"	16/09/2025 11:45:25 +03:00",VNFM,10.253.124.166,OSS,Successful,Operation success
query current activities,Minor,Ayman.Al-Sayyed,"	16/09/2025 11:41:00 +03:00",OSSFaceService,172.17.218.12,query current activities,Successful,query current activities
Query the operator type,Minor,Ayman.Al-Sayyed,"	16/09/2025 11:40:59 +03:00",NBIMgmtService,172.17.218.12,Obtain the operator type,Failed,Failed:Query the current operator type
query current activities,Minor,admin,"	16/09/2025 11:38:49 +03:00",OSSFaceService,192.168.7.160,query current activities,Successful,query current activities
